City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (C°),Wind Speed (kmph)
Zabid,53,YE,1588959332,43,14.2,43.32,34.75,5.58
Ol'ga,100,RU,1588959332,56,43.74,135.29,12.88,1.69
Omboué,97,GA,1588959333,86,-1.57,9.26,26.68,2.17
Half Moon Bay,5,US,1588959333,68,37.46,-122.43,25.56,2.39
Sribne,97,UA,1588959333,84,50.66,32.92,8.25,4.5
Baturaja,100,ID,1588959333,95,-4.13,104.17,24.34,0.82
Bonthe,91,SL,1588959334,78,7.53,-12.51,29.13,4.93
Ardatov,100,RU,1588959334,96,55.24,43.1,12.51,2.35
Faanui,97,PF,1588959334,77,-16.48,-151.75,27.73,6.59
Vila do Maio,40,CV,1588959335,61,15.13,-23.22,26.0,9.8
Girov,30,RO,1588959335,58,46.95,26.52,14.44,2.24
Waingapu,9,ID,1588959335,80,-9.66,120.26,24.6,4.01
Río Gallegos,47,AR,1588959211,76,-51.62,-69.22,12.0,1.0
Sungai Penuh,100,ID,1588959193,90,-2.08,101.38,19.27,0.67
Alta Floresta,90,BR,1588959336,74,-9.88,-56.09,26.0,2.1
Røros,75,NO,1588959337,96,62.57,11.38,3.0,5.7
Petropavlovsk-Kamchatskiy,98,RU,1588959050,69,53.05,158.65,2.0,2.0
Jieshi,7,CN,1588959337,92,22.81,115.83,25.77,4.13
Onguday,0,RU,1588959337,63,50.75,86.15,7.77,0.6
Hannibal,1,US,1588959337,30,39.71,-91.36,13.89,5.1
Narsaq,40,GL,1588959338,50,60.92,-46.05,12.0,3.6
Ahmednagar,0,IN,1588959338,47,19.08,74.73,27.84,2.35
Freital,88,DE,1588959338,34,51.0,13.65,20.0,2.6
Pisco,16,PE,1588959153,69,-13.7,-76.22,23.0,3.1
Gizo Government Station,26,SB,1588959339,77,-8.1,156.84,27.88,2.94
Walker,75,US,1588959339,58,30.73,-95.57,29.44,7.7
Dafeng,54,CN,1588959340,81,23.45,108.59,26.65,2.55
Humaitá,85,BR,1588959340,51,-7.51,-63.02,30.47,1.69
Nālūt,99,LY,1588959340,11,30.33,10.85,32.88,4.14
Butterworth,40,MY,1588959340,94,5.4,100.36,26.0,2.1
Edd,14,ER,1588959340,55,13.93,41.69,33.62,8.44
Kathu,40,TH,1588959156,94,7.92,98.33,25.0,0.5
Valparaíso,90,CL,1588959304,100,-33.04,-71.63,15.0,2.6
Petatlán,40,MX,1588959341,55,17.52,-101.27,30.0,2.6
Melita,52,CA,1588959341,42,49.27,-101.0,8.89,0.45
Trairi,60,BR,1588959234,75,-3.28,-39.27,28.97,4.06
Nemuro,91,JP,1588959342,59,43.32,145.57,9.49,8.38
Mlonggo,25,ID,1588959342,82,-6.53,110.7,26.93,1.89
Bara,14,NG,1588959342,28,10.37,10.73,36.12,4.58
Port Montt,90,CL,1588959343,87,-41.47,-72.94,14.0,6.7
Fortuna,20,US,1588959343,87,40.6,-124.16,13.33,1.5
Posse,75,BR,1588959344,69,-14.09,-46.37,25.61,2.99
Marabá,75,BR,1588959344,70,-5.37,-49.12,31.0,1.5
Cam Ranh,20,VN,1588959344,89,11.92,109.16,30.0,2.6
Ovsyanka,0,RU,1588959345,86,55.96,92.55,1.0,1.01
Ahipara,25,NZ,1588959345,85,-35.17,173.17,12.62,2.4
Yuanping,66,CN,1588959345,82,38.72,112.76,13.39,0.49
Kamen'-Rybolov,100,RU,1588959345,84,44.75,132.04,9.67,3.24
Vung Tau,99,VN,1588959346,79,10.35,107.08,28.91,4.3
Lebanon,90,US,1588959346,82,36.21,-86.29,13.33,5.1
Aklavik,5,CA,1588959346,55,68.22,-135.01,3.0,4.1
Acaraú,93,BR,1588959347,77,-2.89,-40.12,29.26,3.12
Stános,0,GR,1588959347,77,38.8,21.17,18.0,4.1
San Roque,0,ES,1588959347,64,36.21,-5.38,22.0,3.6
Sokoto,21,NG,1588959347,14,13.06,5.24,37.15,0.48
Ambon City,5,ID,1588959348,96,-3.7,128.18,26.67,4.46
Keetmanshoop,0,NA,1588959348,13,-26.58,18.13,26.0,0.5
Chicama,5,PE,1588959348,78,-7.84,-79.15,22.0,6.7
Tuatapere,36,NZ,1588959349,83,-46.13,167.68,9.63,3.11
Kalmunai,49,LK,1588959080,77,7.42,81.82,27.95,1.17
Turukhansk,98,RU,1588959349,96,65.82,87.98,5.72,6.15
Sioux Lookout,40,CA,1588959349,43,50.1,-91.92,2.0,6.2
Mackay,90,AU,1588959350,94,-21.15,149.2,20.0,4.1
Avera,90,US,1588959350,40,33.19,-82.53,20.0,4.1
Bandarbeyla,4,SO,1588959350,72,9.49,50.81,28.59,4.74
San Fernando del Valle de Catamarca,0,AR,1588959350,59,-28.47,-65.79,24.44,3.06
Emerald,40,AU,1588959351,87,-23.53,148.17,16.0,2.09
Praia,40,CV,1588959165,61,14.92,-23.51,26.0,9.8
Kumul,0,CN,1588959351,25,42.8,93.45,15.89,1.85
Sri Aman,65,MY,1588959351,100,1.24,111.46,25.0,0.55
Ayan,100,RU,1588959352,99,56.45,138.17,-1.16,3.71
Zhuanghe,100,CN,1588959352,93,39.7,122.99,12.22,1.79
Lae,96,PG,1588959352,84,-6.72,146.98,24.29,2.67
Mumbwa,0,ZM,1588959352,60,-14.98,27.06,18.01,2.83
Harper,80,LR,1588959353,76,4.38,-7.72,28.77,3.88
Harbour Breton,80,CA,1588959353,87,47.48,-55.8,2.03,12.07
Acajutla,100,SV,1588959292,76,13.59,-89.83,28.89,0.89
Arrondissement du Havre,66,FR,1588959353,52,49.58,0.33,21.0,4.1
Port Shepstone,20,ZA,1588959353,73,-30.74,30.45,19.21,2.69
Kaupanger,75,NO,1588959354,80,61.18,7.24,4.0,16.5
Asău,92,RO,1588959354,58,46.43,26.4,11.67,0.31
Zilair,0,RU,1588959354,38,52.23,57.44,14.56,4.53
Pitimbu,75,BR,1588959355,66,-7.47,-34.81,30.0,4.6
Areosa,75,PT,1588959355,82,41.72,-8.86,16.67,2.6
Sambava,6,MG,1588959355,84,-14.27,50.17,24.95,5.0
Mahibadhoo,100,MV,1588959356,75,3.78,72.97,29.3,4.08
Progreso,40,MX,1588959356,41,21.28,-89.67,33.89,4.1
Wuhu,90,CN,1588959356,93,31.34,118.38,19.0,3.0
Laas,5,IT,1588959357,59,46.62,10.7,16.0,4.1
Boa Vista,75,BR,1588959357,70,2.82,-60.67,29.0,3.1
Hamilton,90,US,1588959108,87,39.18,-84.53,10.56,5.7
Villa María,29,AR,1588959357,40,-32.41,-63.24,22.22,2.68
Marsh Harbour,15,BS,1588959358,57,26.54,-77.06,23.63,5.23
Vilhena,11,BR,1588959358,64,-12.74,-60.15,24.0,4.1
Henties Bay,0,NA,1588959358,50,-22.12,14.28,20.91,2.65
Rome,90,US,1588959358,93,34.26,-85.16,12.22,3.6
Kaeo,1,NZ,1588959359,7,-35.1,173.78,8.33,0.89
Nikolo-Pavlovskoye,39,RU,1588959359,54,57.78,60.06,14.65,2.58
Frankfort,96,ZA,1588959359,37,-27.27,28.48,14.4,2.08
Youkounkoun,83,GN,1588959360,13,12.53,-13.13,41.46,1.92
Klichka,99,RU,1588959360,45,50.45,118.0,8.94,0.61
Klaksvík,82,FO,1588959360,65,62.23,-6.59,5.0,6.7
Seoul,90,KR,1588959361,77,37.57,126.98,15.0,5.7
Isangel,14,VU,1588959244,83,-19.55,169.27,23.81,8.82
Houma,75,US,1588959361,61,29.6,-90.72,30.0,4.1
Puerto Escondido,5,MX,1588959362,74,15.85,-97.07,31.0,5.1
Mt. Pleasant,40,US,1588959261,49,32.79,-79.86,22.22,7.2
Payo,100,ID,1588959362,95,-3.75,103.64,23.72,1.05
Hinton,100,CA,1588959362,79,53.4,-117.59,6.77,0.37
Elesbão Veloso,32,BR,1588959363,61,-6.2,-42.14,31.23,0.46
Honningsvåg,40,NO,1588959363,64,70.98,25.97,2.0,3.6
Saldanha,0,ZA,1588959363,44,-33.01,17.94,24.0,2.6
Río Cuarto,32,AR,1588959150,28,-33.13,-64.35,22.0,7.7
Esna,0,EG,1588959364,18,25.29,32.55,36.0,2.1
Moussoro,46,TD,1588959364,14,13.64,16.49,35.51,0.7
Tura,0,IN,1588959364,40,25.52,90.22,23.88,1.73
Hay River,20,CA,1588959364,69,60.82,-115.8,4.0,6.2
Meulaboh,100,ID,1588959365,91,4.14,96.13,24.37,1.95
Cidreira,22,BR,1588959365,61,-30.18,-50.21,18.45,2.58
Laguna,1,US,1588959081,33,38.42,-121.42,26.67,1.5
Rosetta,40,EG,1588959365,77,31.4,30.42,20.0,8.2
Palatka,1,US,1588959366,35,29.65,-81.64,26.67,5.7
Plastun,100,RU,1588959366,76,44.76,136.29,11.0,2.36
Vardø,75,NO,1588959367,64,70.37,31.11,3.0,3.6
Thunder Bay,75,CA,1588959192,37,48.4,-89.32,1.67,4.6
Curillo,100,CO,1588959367,95,1.03,-75.92,23.68,0.89
Mae Sai,36,TH,1588959367,74,20.43,99.88,27.0,2.1
Visby,3,SE,1588959368,66,57.64,18.3,13.33,6.2
Ust-Nera,100,RU,1588959368,92,64.57,143.2,-3.78,1.11
Hofn,20,IS,1588959369,41,64.25,-15.21,6.0,8.2
Kropotkin,80,RU,1588959370,75,45.44,40.58,10.94,5.42
Paungde,8,MM,1588959370,47,18.48,95.5,31.2,1.4
Dalbandin,0,PK,1588959265,11,28.89,64.41,31.98,1.3
Novska,87,HR,1588959370,29,45.34,16.98,26.0,1.0
Rypefjord,40,NO,1588959371,69,70.63,23.67,1.0,6.7
Port Keats,90,AU,1588959371,65,-14.25,129.55,22.59,2.16
Thinadhoo,90,MV,1588959371,78,0.53,72.93,29.58,7.32
Hargeisa,93,SO,1588959371,69,9.56,44.06,24.29,1.31
Manamadurai,2,IN,1588959372,69,9.7,78.48,29.93,4.38
Ferme-Neuve,100,CA,1588959372,54,46.7,-75.45,4.47,4.16
Porto-Novo,20,BJ,1588959372,74,6.5,2.6,31.0,5.1
Evensk,7,RU,1588959373,93,61.95,159.23,-3.02,7.12
West Wendover,1,US,1588959373,22,40.74,-114.07,14.0,3.1
Doctor Arroyo,96,MX,1588959373,36,23.67,-100.18,24.86,4.17
Katobu,85,ID,1588959373,91,-4.94,122.53,24.58,2.91
Belmonte,75,BR,1588959374,88,-15.86,-38.88,22.0,3.6
Poum,6,NC,1588959374,73,-20.23,164.02,23.2,6.11
Tahoua,9,NE,1588959375,8,14.89,5.27,41.0,2.1
Shingū,100,JP,1588959375,82,33.73,135.98,13.9,1.44
Great Yarmouth,97,GB,1588959375,53,52.61,1.73,21.11,3.13
Hambantota,74,LK,1588959375,83,6.12,81.12,27.61,2.83
Barcelos,75,PT,1588959376,82,41.54,-8.62,18.89,2.6
Cocoa Beach,1,US,1588959376,41,28.32,-80.61,26.0,7.2
Bungu,22,TZ,1588959376,91,-7.63,39.06,21.95,1.82
Umluj,98,SA,1588959377,36,25.02,37.27,28.71,2.56
Sakakah,10,SA,1588959377,8,29.97,40.21,32.0,4.6
Mitsamiouli,12,KM,1588959377,79,-11.38,43.28,27.49,6.92
Smoky Lake,81,CA,1588959377,78,54.12,-112.47,10.0,4.02
Alto Araguaia,2,BR,1588959378,56,-17.31,-53.22,24.89,2.51
Phalodi,2,IN,1588959378,13,27.13,72.37,36.55,3.31
Ferrol,90,ES,1588959378,87,43.48,-8.24,15.56,2.1
Los Llanos de Aridane,75,ES,1588959379,68,28.66,-17.92,22.0,1.5
Chato,61,TZ,1588959379,76,-2.64,31.77,21.6,2.43
Maragogi,70,BR,1588959379,69,-9.01,-35.22,27.91,3.11
Subkhankulovo,22,RU,1588959380,49,54.56,53.81,15.66,2.27
Broken Hill,0,AU,1588959380,47,-31.95,141.43,14.0,4.1
Nuuk,75,GL,1588959380,75,64.18,-51.72,6.0,2.1
Sainte-Suzanne,91,RE,1588959381,83,-20.91,55.61,23.0,2.6
Wamba,37,NG,1588959381,52,8.93,8.6,31.09,2.24
Cayenne,75,GF,1588959381,66,4.93,-52.33,30.0,6.7
Riyadh,77,SA,1588959240,16,24.69,46.72,30.0,3.6
Amahai,11,ID,1588959382,96,-3.33,128.92,26.67,1.97
Mount Isa,40,AU,1588959382,59,-20.73,139.5,18.0,1.15
Shenjiamen,98,CN,1588959269,99,29.96,122.3,19.85,8.58
Luau,47,AO,1588959383,71,-10.71,22.22,20.68,0.62
Bariloche,75,AR,1588959105,48,-41.15,-71.31,17.0,9.8
Joshīmath,24,IN,1588959384,43,30.57,79.57,11.01,2.87
Tibiao,75,PH,1588959384,67,11.29,122.04,28.05,2.04
Broome,75,US,1588959265,45,42.25,-75.83,10.0,3.1
Manzanillo,39,CU,1588959385,55,20.34,-77.12,32.35,3.04
Krasnoturansk,0,RU,1588959385,69,54.32,91.56,4.0,1.0
Awjilah,0,LY,1588959386,18,29.11,21.29,25.28,4.87
Krasnyy Chikoy,100,RU,1588959386,87,50.36,108.75,2.47,1.75
Dekar,0,BW,1588959387,29,-21.53,21.93,18.04,3.0
Manggar,100,ID,1588959387,81,-2.88,108.27,27.88,0.49
Bintulu,90,MY,1588959387,94,3.17,113.03,25.0,3.6
Necochea,38,AR,1588959388,58,-38.55,-58.74,20.0,5.36
Locri,39,IT,1588959388,25,38.24,16.26,19.44,1.11
Kiunga,90,PG,1588959388,97,-6.12,141.29,22.97,0.65
Mana,84,GF,1588959389,75,5.66,-53.78,27.18,5.38
Oussouye,41,SN,1588959389,74,12.48,-16.55,32.0,4.1
Padang,100,ID,1588959389,74,-0.95,100.35,26.39,1.84
Dzilam González,100,MX,1588959389,35,21.28,-88.93,34.63,2.68
Nerang,97,AU,1588959390,91,-27.98,153.33,15.56,1.66
Bilma,0,NE,1588959390,12,18.69,12.92,31.26,1.62
Mwinilunga,54,ZM,1588959390,76,-11.74,24.43,17.77,1.99
River Falls,0,US,1588959390,35,44.86,-92.62,8.33,2.24
Corinth,0,GR,1588959281,46,37.94,22.96,20.0,0.45
Karratha,17,AU,1588959391,63,-20.74,116.85,24.13,2.14
Oudtshoorn,90,ZA,1588959391,100,-33.59,22.2,16.0,3.1
Miguel Hidalgo,20,MX,1588959283,43,19.42,-99.2,21.0,2.1
Itarantim,100,BR,1588959392,88,-15.66,-40.07,21.04,3.73
Caucayá,100,CO,1588959392,93,-0.19,-74.78,24.11,2.12
Manbij,75,SY,1588959392,59,36.53,37.95,18.0,3.77
Camargo,42,MX,1588959392,25,27.67,-105.17,27.54,6.08
Kaoma,0,ZM,1588959393,58,-14.78,24.8,18.19,2.17
Sehithwa,0,BW,1588959393,29,-20.47,22.72,19.76,3.61
Ulladulla,90,AU,1588959393,87,-35.35,150.47,11.67,1.5
Morondava,7,MG,1588959393,74,-20.28,44.28,24.64,5.48
Rio Grande,20,BR,1588959117,43,-32.03,-52.1,21.0,2.1
Arrondissement de Bar-le-Duc,96,FR,1588959394,41,48.75,5.17,24.0,2.1
Vao,16,NC,1588959394,79,-22.67,167.48,22.69,10.79
Northport,75,US,1588959394,82,33.23,-87.58,16.67,8.7
Nyurba,76,RU,1588959395,90,63.28,118.33,-5.01,3.13
San Jerónimo,32,PE,1588959395,51,-11.95,-75.28,16.35,1.21
Raudeberg,72,NO,1588959395,83,61.99,5.14,7.22,3.43
Beech Grove,40,US,1588959230,57,39.72,-86.09,12.22,5.7
Lyuban',64,BY,1588959396,70,52.8,28.0,7.7,2.38
Touros,40,BR,1588959396,70,-5.2,-35.46,30.0,3.6
Kastamonu Province,99,TR,1588959396,84,41.5,33.67,4.81,1.22
Beloha,23,MG,1588959397,79,-25.17,45.05,19.07,5.02
Husavik,75,IS,1588959397,55,66.04,-17.34,3.0,6.2
Charlestown,0,AU,1588959397,70,-32.95,151.67,15.56,3.23
Alexandria,40,EG,1588959346,77,31.22,29.96,20.0,8.2
Lata,63,PT,1588959398,75,40.16,-8.33,18.33,1.34
Teapa,75,MX,1588959398,62,17.55,-92.95,29.0,3.6
Jasper,20,US,1588959399,58,37.2,-94.35,15.56,9.8
Nioro,73,GM,1588959399,12,13.35,-15.75,40.43,5.27
Snyder,1,US,1588959399,31,32.72,-100.92,18.0,13.4
Cabrera,40,DO,1588959399,70,19.64,-69.9,32.0,5.1
Bobon,75,PH,1588959400,87,12.52,124.56,25.09,1.95
Hirara,47,JP,1588959400,85,24.8,125.28,24.96,5.67
Moose Factory,90,CA,1588959400,68,51.26,-80.61,-2.0,5.7
Sena Madureira,11,BR,1588959400,46,-9.07,-68.66,28.5,1.86
Grindavik,0,IS,1588959401,42,63.84,-22.43,7.0,8.7
Wawa,62,NG,1588959401,35,9.9,4.42,33.79,1.86
Rehoboth,0,NA,1588959401,24,-23.32,17.08,19.95,3.58
Anáhuac,75,MX,1588959402,54,27.23,-100.15,29.0,3.1
Pacific Grove,1,US,1588959109,63,36.62,-121.92,26.11,1.5
Sosnogorsk,100,RU,1588959402,89,63.6,53.88,6.35,2.16
Burevestnik,40,RU,1588959402,100,56.14,43.79,17.22,2.0
Port Macquarie,75,AU,1588959403,93,-31.43,152.92,12.78,3.19
Salinas,1,US,1588959126,38,36.68,-121.66,26.11,3.6
Havre-St-Pierre,90,CA,1588959404,52,50.23,-63.6,8.0,8.7
Irecê,99,BR,1588959404,52,-11.3,-41.86,28.81,3.92
Bende,76,NG,1588959404,80,5.56,7.64,26.73,1.15
Yulara,33,AU,1588959405,21,-25.24,130.99,17.0,4.6
Samarai,65,PG,1588959405,82,-10.62,150.67,26.31,7.1
North Bend,1,US,1588959405,59,43.41,-124.22,22.78,2.15
Passo Fundo,0,BR,1588959405,48,-28.26,-52.41,18.44,3.22
Malakal,46,SS,1588959406,42,9.53,31.66,33.03,2.93
Dauphin,90,CA,1588959406,36,51.15,-100.05,7.0,3.6
Westport,100,US,1588959398,72,41.14,-73.36,10.0,1.88
Marystown,76,CA,1588959407,80,47.17,-55.15,3.49,11.68
Hervey Bay,7,AU,1588959407,82,-25.3,152.85,18.33,1.79
Tezu,39,IN,1588959407,53,27.92,96.17,21.19,1.76
Porto Walter,41,BR,1588959196,47,-8.27,-72.74,27.64,2.0
Balkhash,96,KZ,1588959408,39,46.84,74.98,19.25,10.3
Abnūb,0,EG,1588959408,17,27.27,31.15,33.0,5.1
Wukari,4,NG,1588959408,59,7.85,9.78,30.53,3.06
Pontes e Lacerda,78,BR,1588959408,50,-15.23,-59.34,24.09,2.2
Codrington,100,AU,1588959409,90,-38.27,141.97,10.61,6.1
Fort Nelson,20,CA,1588959401,62,58.81,-122.7,13.0,1.0
Atagay,92,RU,1588959409,85,55.1,99.39,3.76,2.72
Mount Gambier,75,AU,1588959409,93,-37.83,140.77,11.0,3.6
Aksu,72,CN,1588959410,33,41.12,80.26,19.03,2.55
Ust-Tsilma,80,RU,1588959410,87,65.44,52.15,3.43,1.09
Bodmin,20,GB,1588959197,52,50.47,-4.72,20.56,3.1
Adamantas,0,GR,1588959410,48,36.73,24.43,18.0,5.7
Sikasso,67,ML,1588959411,23,10.92,-7.0,36.9,1.74
San Miguel,98,SV,1588959394,37,13.48,-88.18,36.28,1.19
Tateyama,87,JP,1588959411,72,34.98,139.87,17.78,1.34
Karpathos,20,GR,1588959411,68,35.51,27.21,19.0,10.3
Gimli,0,CA,1588959243,46,50.63,-96.99,5.0,2.68
Smirnykh,52,RU,1588959412,83,49.75,142.83,6.3,2.62
Kinablangan,27,PH,1588959412,81,7.69,126.55,26.3,2.83
Jardim,0,BR,1588959412,34,-21.48,-56.14,25.24,2.26
Kysyl-Syr,99,RU,1588959413,95,63.9,122.76,-6.96,4.17
